key,english,arabic,sources,placeholders,status
 ({n} as past-stay history), ({n} as past-stay history), ({n} كسجل إقامات سابقة),screens/Setup.tsx,n,translated
 ({n} short), ({n} short), ({n} ناقص),screens/Laundry.tsx,n,translated
 · all rooms, · all rooms, · كل الغرف,components/BookingDialog.tsx,,translated
 — add the first item., — add the first item., — أضف العنصر الأول.,screens/Laundry.tsx,,translated
+ New Company folio,+ New Company folio,+ فاتورة شركة جديدة,screens/FolioView.tsx,,translated
+ New Extra folio,+ New Extra folio,+ فاتورة إضافية جديدة,screens/FolioView.tsx,,translated
+{n} house / complimentary order{s} (not billed),+{n} house / complimentary order{s} (not billed),+{n} طلب{s} منزل / مجاني (غير مفوتر),screens/Laundry.tsx,n s,translated
"- write off part of the bill, with a reason","- write off part of the bill, with a reason",- شطب جزء من الفاتورة مع سبب,screens/FolioView.tsx,,translated
30% or 1500,30% or 1500,30٪ أو 1500,screens/FolioView.tsx,,translated
"300 pax sangeet, veg buffet, DJ till 1am, green room for the bride…","300 pax sangeet, veg buffet, DJ till 1am, green room for the bride…",300 ضيف سانجيت، بوفيه نباتي، دي جي حتى الساعة 1 صباحاً، غرفة للعروس…,screens/Banquet.tsx,,translated
AC,AC,مكيف,screens/Setup.tsx,,translated
ADR,ADR,متوسط سعر الغرفة,screens/Dashboard.tsx; screens/Reports.tsx,,translated
ADR {cur},ADR {cur},متوسط سعر الغرفة {cur},screens/Reports.tsx,cur,translated
AI Agent,AI Agent,وكيل الذكاء الاصطناعي,screens/Today.tsx,,translated
Accept,Accept,قبول,screens/HkApp.tsx,,translated
Actions,Actions,إجراءات,screens/FolioView.tsx,,translated
Add another room,Add another room,إضافة غرفة أخرى,components/BookingDialog.tsx,,translated
"Add channels, payments, accounting and country packs - and see what's included in your plan.","Add channels, payments, accounting and country packs - and see what's included in your plan.",أضف القنوات والمدفوعات والمحاسبة وحزم الدول - واطلع على ما يشمله اشتراكك.,screens/AppLauncher.tsx,,translated
Add discount,Add discount,إضافة خصم,screens/POS.tsx,,translated
Add listing,Add listing,إضافة قائمة,screens/Setup.tsx,,translated
Add rate,Add rate,إضافة سعر,screens/Laundry.tsx,,translated
Add room type,Add room type,إضافة نوع غرفة,screens/Setup.tsx,,translated
Add round & fire KOT,Add round & fire KOT,إضافة جولة وإرسال أمر المطبخ,screens/POS.tsx,,translated
Add to pickup queue,Add to pickup queue,إضافة إلى قائمة الاستلام,screens/Laundry.tsx,,translated
Address,Address,العنوان,screens/FolioView.tsx,,translated
Address proof,Address proof,إثبات العنوان,components/CheckInDialog.tsx,,translated
Administrator or you@hotel.com,Administrator or you@hotel.com,Administrator أو you@hotel.com,screens/Login.tsx,,translated
Adults,Adults,البالغون,components/BookingDialog.tsx; screens/CRS.tsx; screens/Setup.tsx,,translated
Advance Percent,Advance Percent,نسبة الدفعة المقدمة,screens/Setup.tsx,,translated
Advance bill,Advance bill,فاتورة مقدمة,screens/FolioView.tsx,,translated
Advance percent,Advance percent,نسبة المقدمة,screens/Setup.tsx,,translated
Air Conditioning,Air Conditioning,تكييف الهواء,screens/Setup.tsx,,translated
Alcohol,Alcohol,كحول,screens/FolioView.tsx,,translated
All,All,الكل,screens/Kitchen.tsx; screens/POS.tsx,,translated
All ({n}),All ({n}),الكل ({n}),screens/POS.tsx,n,translated
All Floors,All Floors,كل الطوابق,screens/Today.tsx,,translated
All functions,All functions,كل المناسبات,screens/Banquet.tsx,,translated
All outlets,All outlets,كل المنافذ,screens/Kitchen.tsx,,translated
All properties,All properties,كل العقارات,screens/Dashboard.tsx,,translated
All ready,All ready,الكل جاهز,screens/Kitchen.tsx,,translated
All ready — send to pass,All ready — send to pass,الكل جاهز — أرسل للممر,screens/Kitchen.tsx,,translated
All room types,All room types,كل أنواع الغرف,screens/TapeChart.tsx,,translated
All sessions,All sessions,كل الجلسات,screens/CashierTill.tsx,,translated
All statuses,All statuses,كل الحالات,screens/Banquet.tsx,,translated
Allow,Allow,السماح,screens/FolioView.tsx,,translated
Already ran for today ({audit}).,Already ran for today ({audit}).,تم التشغيل بالفعل لليوم ({audit}).,screens/Billing.tsx,audit,translated
Amount,Amount,المبلغ,screens/CashierTill.tsx,,translated
Amount {cur},Amount {cur},المبلغ {cur},screens/FolioView.tsx; screens/HkApp.tsx,cur,translated
Amounts are inclusive of GST at the rates shown.,Amounts are inclusive of GST at the rates shown.,المبالغ شاملة ضريبة GST بالأسعار المعروضة.,screens/FolioView.tsx,,translated
